Name,IC50,SMILES
4105,11,c12c(C(c3nc(c(nc-23)C#N)C#N)=O)cc(OC)c(OC)c1
4106,11,C(c1ccccc1)(CC(=O)N1CCC(O)(Cn2c(=O)c3ccc(NCc4occc4)cc3nc2)CC1)C
4106,11,C(n1cnc2n(-c3ccccc3)ccc2c1=O)C1(O)CCN(C(=O)[C@H]2[C@H](c3ccccc3)C(CCC2)(F)F)CC1
4106,11,C1(Cn2c(c3c(c(-c4ccccc4)sc3)nc2)=O)(O)CCN(C([C@H]2[C@H](c3ncsc3)CC(CC2)(F)F)=O)CC1
4106,11,COc1cc2C(c3nc(C#N)c(C#N)nc3-c2cc1OC)=O
4106,11,C1N(CCC(O)(C1)Cn1cnc2c(scc2c1=O)-c1ccccc1)C([C@@H]1CC(CC[C@H]1c1ccccc1)(F)F)=O
4107,11,N1(CCC(CC1)(O)Cn1c(=O)c2c(cc(cc2)NCc2occc2)nc1)C(CC(c1ccccc1)C)=O
4107,11,FC1(F)CCC[C@@H](C(=O)N2CCC(Cn3c(c4c(nc3)n(cc4)-c3ccccc3)=O)(O)CC2)[C@@H]1c1ccccc1
4107,11,O(C)c1cc2c(cc1OC)-c1nc(C#N)c(C#N)nc1C2=O
4107,11,c1cc(-c2scc3c(n(cnc23)CC2(CCN(C([C@H]3[C@@H](CCC(F)(F)C3)c3ccccc3)=O)CC2)O)=O)ccc1
4108,11,n1c2c(ccc(c2)NCc2occc2)c(n(c1)CC1(O)CCN(C(CC(C)c2ccccc2)=O)CC1)=O
4108,11,C1CC[C@@H](C(=O)N2CCC(O)(CC2)Cn2cnc3c(ccn3-c3ccccc3)c2=O)[C@H](c2ccccc2)C1(F)F
4108,11,OC1(CCN(C(=O)[C@H]2[C@H](c3ccccc3)CCC(C2)(F)F)CC1)Cn1cnc2c(-c3ccccc3)scc2c1=O
4109,11,C1(Cn2cnc3cc(NCc4occc4)ccc3c2=O)(CCN(C(=O)CC(c2ccccc2)C)CC1)O
4109,11,C1N(CCC(Cn2cnc3c(scc3c2=O)-c2ccccc2)(C1)O)C(=O)[C@H]1[C@@H](CC(CC1)(F)F)c1ncsc1
4109,11,c12c(-c3c(cc(OC)c(c3)OC)C2=O)nc(c(n1)C#N)C#N
4109,11,c1cc(ccc1)-c1c2ncn(CC3(O)CCN(CC3)C([C@@H]3CC(F)(CC[C@H]3c3ccccc3)F)=O)c(=O)c2cs1
3974,11.1,O=c1c2c(ncn1CC1(CCN(C(CC(C)c3ccccc3)=O)CC1)O)cc(NCc1ccco1)cc2
3974,11.1,C1CC[C@@H](C(=O)N2CCC(O)(CC2)Cn2cnc3n(ccc3c2=O)-c2ccccc2)[C@@H](C1(F)F)c1ccccc1
3974,11.1,n1(CC2(O)CCN(CC2)C(=O)[C@H]2[C@@H](CC(F)(F)CC2)c2cscn2)cnc2c(scc2c1=O)-c1ccccc1
3974,11.1,C(#N)c1nc2c(nc1C#N)C(c1c-2cc(OC)c(OC)c1)=O
3974,11.1,c1(ccccc1)[C@@H]1CCC(F)(F)C[C@H]1C(N1CCC(CC1)(Cn1cnc2c(c1=O)csc2-c1ccccc1)O)=O
3670,11.15,c1c(NCc2ccco2)cc2ncn(CC3(CCN(C(=O)CC(c4ccccc4)C)CC3)O)c(=O)c2c1
3670,11.15,n1cn(c(=O)c2c1n(cc2)-c1ccccc1)CC1(CCN(CC1)C(=O)[C@H]1[C@@H](C(F)(F)CCC1)c1ccccc1)O
3670,11.15,C1C(Cn2cnc3c(csc3-c3ccccc3)c2=O)(CCN(C([C@H]2[C@H](c3cscn3)CC(CC2)(F)F)=O)C1)O
3670,11.15,c1(c(C#N)nc2c(n1)C(c1c-2cc(c(c1)OC)OC)=O)C#N
3670,11.15,N1(CCC(CC1)(Cn1cnc2c(csc2-c2ccccc2)c1=O)O)C([C@H]1[C@@H](CCC(C1)(F)F)c1ccccc1)=O
3882,11.5,C1C(CCN(C1)C(=O)CC(c1ccccc1)C)(Cn1c(c2c(cc(cc2)NCc2ccco2)nc1)=O)O
3882,11.5,s1c(c2ncn(c(=O)c2c1)CC1(O)CCN(CC1)C([C@@H]1CCC(F)(F)C[C@H]1c1cscn1)=O)-c1ccccc1
3882,11.5,O(C)c1c(cc2c(c1)C(c1c-2nc(C#N)c(n1)C#N)=O)OC
3882,11.5,c1c([C@@H]2CCC(C[C@H]2C(=O)N2CCC(CC2)(Cn2c(c3c(c(-c4ccccc4)sc3)nc2)=O)O)(F)F)cccc1
3883,11.9,C1C(O)(CCN(C(=O)CC(C)c2ccccc2)C1)Cn1cnc2cc(ccc2c1=O)NCc1ccco1
3883,11.9,c1ccccc1-n1c2ncn(CC3(O)CCN(C([C@@H]4CCCC(F)(F)[C@H]4c4ccccc4)=O)CC3)c(=O)c2cc1
3883,11.9,C1[C@@H](C(N2CCC(O)(Cn3c(c4c(c(sc4)-c4ccccc4)nc3)=O)CC2)=O)[C@@H](CC(F)(C1)F)c1ncsc1
3883,11.9,c1(OC)c(OC)cc2C(c3c(nc(c(C#N)n3)C#N)-c2c1)=O
3883,11.9,C1[C@H]([C@@H](CC(F)(F)C1)C(=O)N1CCC(CC1)(Cn1c(c2c(c(sc2)-c2ccccc2)nc1)=O)O)c1ccccc1
3671,12,C1CC(Cn2c(c3c(nc2)cc(NCc2occc2)cc3)=O)(O)CCN1C(CC(C)c1ccccc1)=O
3671,12,C1C([C@@H](c2ccccc2)[C@H](C(=O)N2CCC(Cn3cnc4c(c3=O)ccn4-c3ccccc3)(CC2)O)CC1)(F)F
3671,12,c1c(-c2c3c(cs2)c(=O)n(CC2(O)CCN(CC2)C(=O)[C@H]2[C@H](c4ncsc4)CC(CC2)(F)F)cn3)cccc1
3671,12,O=C1c2cc(c(OC)cc2-c2c1nc(C#N)c(C#N)n2)OC
3671,12,c1(-c2scc3c2ncn(c3=O)CC2(CCN(CC2)C([C@@H]2CC(CC[C@H]2c2ccccc2)(F)F)=O)O)ccccc1
3984,12,FC1([C@H]([C@@H](CCC1)C(=O)N1CCC(Cn2c(=O)c3c(n(cc3)-c3ccccc3)nc2)(O)CC1)c1ccccc1)F
3984,12,c1ccccc1-c1c2ncn(c(c2cs1)=O)CC1(O)CCN(CC1)C(=O)[C@@H]1CCC(F)(C[C@H]1c1ncsc1)F
3984,12,N#Cc1nc2C(c3c(cc(c(OC)c3)OC)-c2nc1C#N)=O
3984,12,c1cc(ccc1)[C@@H]1CCC(F)(F)C[C@H]1C(=O)N1CCC(CC1)(O)Cn1cnc2c(c1=O)csc2-c1ccccc1
