SMILES,Name,IC50,Unit
Cc1cc(C(F)(F)F)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCCNC1,127,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C)c4=O)sc23)c1OC1CCN(C2COC2)CC1,128,0.5,¦ÌM
CCC(c1cc2nccc(-c3cc(Cl)cc(C)c3OC3CCCNC3)c2s1)N1C(=O)CCC1=O,129,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CC(C)(C)CC4=O)sc23)c1OC1CCNCC1,130,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ncnc3cc(CN4C(=O)CCCC4=O)sc23)c1OC1CCCNC1,131,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCCCNC1,132,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCCNCC1,133,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCNCC1C(F)(F)F,134,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCN(C)CC1C,135,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1(C(F)(F)F)CCCNC1,136,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCNCC1(C)F,137,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CC(N)C1,138,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CC(N2CCOCC2)C1,139,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1(C)CNC1,140,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CNCCC1C,141,0.5,¦ÌM
Cc1cc([N+](=O)[O-])cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1Oc1cncc(N)c1,142,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C(C)(C)C)c4=O)sc23)c1OC1CCCNC1,143,0.5,¦ÌM
Cc1cc([N+](=O)[O-])cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OCc1cn[nH]c1,144,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)F)c4=O)sc23)c1OC1CCCNC1,145,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(C5CC5)c4=O)sc23)c1OC1CCCNC1,146,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(Cn4c(=O)ccn(CC(F)(F)F)c4=O)sc23)c1OC1CCC(C)(C)NC1,147,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(C(C)n4c(=O)ccn(C)c4=O)sc23)c1OC1CCCNC1,148,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(C(C)N4C(=O)C5CC5C4=O)sc23)c1OC1CCCNC1,149,0.5,¦ÌM
Cc1cc(Cl)cc(-c2ccnc3cc(C(C)N4C(=O)CCC4=O)sc23)c1OC1CCNCC1F,150,0.5,¦ÌM
